Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_05,Chrome 129.0.0.0,,,11-10-2024 21:39:40,11-10-2024 21:40:05,24.380s,PASSED
,,,,,,,
Test Cases/TC_05_Register User with existing email,Chrome 129.0.0.0,,,11-10-2024 21:39:40,11-10-2024 21:40:05,24.305s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,11-10-2024 21:39:40,11-10-2024 21:39:42,1.520s,PASSED
"navigateToUrl(""https://automationexercise.com/"")",Chrome 129.0.0.0,,,11-10-2024 21:39:42,11-10-2024 21:39:45,2.882s,PASSED
"click(findTestObject(""Page_Automation Exercise/a_Signup  Login""))",Chrome 129.0.0.0,,,11-10-2024 21:39:45,11-10-2024 21:39:47,2.551s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Automation Exercise - Signup  Login/h2_New User Signup""), ""New User Signup!"")",Chrome 129.0.0.0,,,11-10-2024 21:39:47,11-10-2024 21:39:49,2.175s,PASSED
"setText(findTestObject(""Object Repository/Page_Automation Exercise - Signup  Login/input_New User Signup_name""), name)",Chrome 129.0.0.0,,,11-10-2024 21:39:49,11-10-2024 21:39:54,5.074s,PASSED
"setText(findTestObject(""Object Repository/Page_Automation Exercise - Signup  Login/input_New User Signup_email""), ""nhantest@katalon.com"")",Chrome 129.0.0.0,,,11-10-2024 21:39:54,11-10-2024 21:39:58,3.952s,PASSED
"click(findTestObject(""Object Repository/Page_Automation Exercise - Signup  Login/button_Signup""))",Chrome 129.0.0.0,,,11-10-2024 21:39:58,11-10-2024 21:40:02,3.435s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Automation Exercise - Signup  Login/p_Email Address already exist""), ""Email Address already exist!"")",Chrome 129.0.0.0,,,11-10-2024 21:40:02,11-10-2024 21:40:04,2.530s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,11-10-2024 21:40:04,11-10-2024 21:40:05,0.128s,PASSED
